threshold,accuracy,precision,recall,f1,far,frr
2.512099854357075e-06,0.704,0.628140703517588,1.0,0.7716049382716049,0.592,0.0
2.518490191505407e-06,0.706,0.6297229219143576,1.0,0.7727975270479135,0.588,0.0
2.54541350841464e-06,0.708,0.6313131313131313,1.0,0.7739938080495357,0.584,0.0
2.6316586172470124e-06,0.71,0.6329113924050633,1.0,0.7751937984496124,0.58,0.0
2.6812863325176295e-06,0.712,0.6345177664974619,1.0,0.7763975155279503,0.576,0.0
2.6871482532442315e-06,0.714,0.6361323155216285,1.0,0.7776049766718507,0.572,0.0
2.7293110633763717e-06,0.716,0.6377551020408163,1.0,0.778816199376947,0.568,0.0
2.761014911811799e-06,0.718,0.639386189258312,1.0,0.7800312012480499,0.564,0.0
2.7620842502074083e-06,0.72,0.6410256410256411,1.0,0.78125,0.56,0.0
2.805559006446856e-06,0.722,0.6426735218508998,1.0,0.7824726134585289,0.556,0.0
2.9179066132201115e-06,0.724,0.6443298969072165,1.0,0.7836990595611285,0.552,0.0
2.93763537229097e-06,0.726,0.6459948320413437,1.0,0.7849293563579278,0.548,0.0
2.9920804536232026e-06,0.728,0.6476683937823834,1.0,0.7861635220125787,0.544,0.0
3.2090899821923813e-06,0.73,0.6493506493506493,1.0,0.7874015748031497,0.54,0.0
3.279393695265753e-06,0.732,0.6510416666666666,1.0,0.7886435331230284,0.536,0.0
3.301705646663322e-06,0.734,0.6527415143603134,1.0,0.7898894154818326,0.532,0.0
3.372700348336366e-06,0.736,0.6544502617801047,1.0,0.7911392405063291,0.528,0.0
3.5889845548808808e-06,0.738,0.6561679790026247,1.0,0.7923930269413629,0.524,0.0
4.0520421862311196e-06,0.74,0.6578947368421053,1.0,0.7936507936507936,0.52,0.0
4.054260898556095e-06,0.742,0.6596306068601583,1.0,0.794912559618442,0.516,0.0
4.23869369114982e-06,0.744,0.6613756613756614,1.0,0.7961783439490446,0.512,0.0
4.2883721107500605e-06,0.746,0.6631299734748011,1.0,0.7974481658692185,0.508,0.0
4.760238425660646e-06,0.748,0.6648936170212766,1.0,0.7987220447284346,0.504,0.0
4.834094397665467e-06,0.75,0.6666666666666666,1.0,0.8,0.5,0.0
5.158272415428655e-06,0.752,0.6684491978609626,1.0,0.8012820512820513,0.496,0.0
5.533910552912857e-06,0.754,0.6702412868632708,1.0,0.8025682182985554,0.492,0.0
6.15099270362407e-06,0.756,0.6720430107526881,1.0,0.8038585209003215,0.488,0.0
6.485406629508361e-06,0.758,0.6738544474393531,1.0,0.8051529790660226,0.484,0.0
6.486476650024997e-06,0.76,0.6756756756756757,1.0,0.8064516129032258,0.48,0.0
6.857932476123096e-06,0.762,0.6775067750677507,1.0,0.8077544426494345,0.476,0.0
6.932461928954581e-06,0.764,0.6793478260869565,1.0,0.8090614886731392,0.472,0.0
6.952615422051167e-06,0.766,0.6811989100817438,1.0,0.8103727714748784,0.468,0.0
7.200071195256896e-06,0.768,0.6830601092896175,1.0,0.8116883116883117,0.464,0.0
8.371579497179482e-06,0.77,0.684931506849315,1.0,0.8130081300813008,0.46,0.0
9.281326128984801e-06,0.772,0.6868131868131868,1.0,0.8143322475570033,0.456,0.0
1.020052695821505e-05,0.774,0.6887052341597796,1.0,0.8156606851549756,0.452,0.0
1.0717074474086985e-05,0.776,0.6906077348066298,1.0,0.8169934640522876,0.448,0.0
1.0998320249200333e-05,0.778,0.6925207756232687,1.0,0.8183306055646481,0.444,0.0
1.2888749552075751e-05,0.78,0.6944444444444444,1.0,0.819672131147541,0.44,0.0
1.3558571481553372e-05,0.782,0.6963788300835655,1.0,0.8210180623973727,0.436,0.0
1.3853321433998644e-05,0.784,0.6983240223463687,1.0,0.8223684210526315,0.432,0.0
1.4569535778719e-05,0.786,0.7002801120448179,1.0,0.8237232289950577,0.428,0.0
